model,record_type,term,value,condition_number,bp_pvalue,n_cooks_over_4n,max_cooks_distance,max_leverage,max_abs_studentized_residual
Model B,vif,C(paid)[T.yes],1.338697535266569,569.0595106873402,5.423342336467754e-05,29,0.0625782358454608,0.3407466083785358,4.467451651944796
Model B,vif,C(activities)[T.yes],1.1586817564492602,569.0595106873402,5.423342336467754e-05,29,0.0625782358454608,0.3407466083785358,4.467451651944796
Model B,vif,C(nursery)[T.yes],1.1513483104331415,569.0595106873402,5.423342336467754e-05,29,0.0625782358454608,0.3407466083785358,4.467451651944796
Model B,vif,C(higher)[T.yes],1.3157914103053927,569.0595106873402,5.423342336467754e-05,29,0.0625782358454608,0.3407466083785358,4.467451651944796
Model B,vif,C(internet)[T.yes],1.2577520499162205,569.0595106873402,5.423342336467754e-05,29,0.0625782358454608,0.3407466083785358,4.467451651944796
Model B,vif,C(romantic)[T.yes],1.1743819545955898,569.0595106873402,5.423342336467754e-05,29,0.0625782358454608,0.3407466083785358,4.467451651944796
Model B,vif,age,1.8032927508225554,569.0595106873402,5.423342336467754e-05,29,0.0625782358454608,0.3407466083785358,4.467451651944796
Model B,vif,Medu,2.940226292454405,569.0595106873402,5.423342336467754e-05,29,0.0625782358454608,0.3407466083785358,4.467451651944796
Model B,vif,Fedu,2.1410099025751532,569.0595106873402,5.423342336467754e-05,29,0.0625782358454608,0.3407466083785358,4.467451651944796
Model B,vif,traveltime,1.3209732371552263,569.0595106873402,5.423342336467754e-05,29,0.0625782358454608,0.3407466083785358,4.467451651944796
Model B,vif,studytime,1.3958328575610093,569.0595106873402,5.423342336467754e-05,29,0.0625782358454608,0.3407466083785358,4.467451651944796
Model B,vif,failures,1.563185711060702,569.0595106873402,5.423342336467754e-05,29,0.0625782358454608,0.3407466083785358,4.467451651944796
Model B,vif,famrel,1.1418139296709624,569.0595106873402,5.423342336467754e-05,29,0.0625782358454608,0.3407466083785358,4.467451651944796
Model B,vif,freetime,1.3213978833810858,569.0595106873402,5.423342336467754e-05,29,0.0625782358454608,0.3407466083785358,4.467451651944796
Model B,vif,goout,1.4964816113405446,569.0595106873402,5.423342336467754e-05,29,0.0625782358454608,0.3407466083785358,4.467451651944796
Model B,vif,Dalc,2.0285133069723793,569.0595106873402,5.423342336467754e-05,29,0.0625782358454608,0.3407466083785358,4.467451651944796
Model B,vif,Walc,2.389544491001495,569.0595106873402,5.423342336467754e-05,29,0.0625782358454608,0.3407466083785358,4.467451651944796
Model B,vif,health,1.1792659069153628,569.0595106873402,5.423342336467754e-05,29,0.0625782358454608,0.3407466083785358,4.467451651944796
Model B,vif,absences,1.256252994627287,569.0595106873402,5.423342336467754e-05,29,0.0625782358454608,0.3407466083785358,4.467451651944796
Model B,vif,G1,4.673490780177422,569.0595106873402,5.423342336467754e-05,29,0.0625782358454608,0.3407466083785358,4.467451651944796
Model B,vif,G2,4.409260560543212,569.0595106873402,5.423342336467754e-05,29,0.0625782358454608,0.3407466083785358,4.467451651944796
Model B,category_count,school=GP,349.0,569.0595106873402,5.423342336467754e-05,29,0.0625782358454608,0.3407466083785358,4.467451651944796
Model B,category_count,school=MS,46.0,569.0595106873402,5.423342336467754e-05,29,0.0625782358454608,0.3407466083785358,4.467451651944796
Model B,category_count,sex=F,208.0,569.0595106873402,5.423342336467754e-05,29,0.0625782358454608,0.3407466083785358,4.467451651944796
Model B,category_count,sex=M,187.0,569.0595106873402,5.423342336467754e-05,29,0.0625782358454608,0.3407466083785358,4.467451651944796
Model B,category_count,address=U,307.0,569.0595106873402,5.423342336467754e-05,29,0.0625782358454608,0.3407466083785358,4.467451651944796
Model B,category_count,address=R,88.0,569.0595106873402,5.423342336467754e-05,29,0.0625782358454608,0.3407466083785358,4.467451651944796
Model B,category_count,famsize=GT3,281.0,569.0595106873402,5.423342336467754e-05,29,0.0625782358454608,0.3407466083785358,4.467451651944796
Model B,category_count,famsize=LE3,114.0,569.0595106873402,5.423342336467754e-05,29,0.0625782358454608,0.3407466083785358,4.467451651944796
Model B,category_count,Pstatus=T,354.0,569.0595106873402,5.423342336467754e-05,29,0.0625782358454608,0.3407466083785358,4.467451651944796
Model B,category_count,Pstatus=A,41.0,569.0595106873402,5.423342336467754e-05,29,0.0625782358454608,0.3407466083785358,4.467451651944796
Model B,category_count,Mjob=other,141.0,569.0595106873402,5.423342336467754e-05,29,0.0625782358454608,0.3407466083785358,4.467451651944796
Model B,category_count,Mjob=services,103.0,569.0595106873402,5.423342336467754e-05,29,0.0625782358454608,0.3407466083785358,4.467451651944796
Model B,category_count,Mjob=at_home,59.0,569.0595106873402,5.423342336467754e-05,29,0.0625782358454608,0.3407466083785358,4.467451651944796
Model B,category_count,Mjob=teacher,58.0,569.0595106873402,5.423342336467754e-05,29,0.0625782358454608,0.3407466083785358,4.467451651944796
Model B,category_count,Mjob=health,34.0,569.0595106873402,5.423342336467754e-05,29,0.0625782358454608,0.3407466083785358,4.467451651944796
Model B,category_count,Fjob=other,217.0,569.0595106873402,5.423342336467754e-05,29,0.0625782358454608,0.3407466083785358,4.467451651944796
Model B,category_count,Fjob=services,111.0,569.0595106873402,5.423342336467754e-05,29,0.0625782358454608,0.3407466083785358,4.467451651944796
Model B,category_count,Fjob=teacher,29.0,569.0595106873402,5.423342336467754e-05,29,0.0625782358454608,0.3407466083785358,4.467451651944796
Model B,category_count,Fjob=at_home,20.0,569.0595106873402,5.423342336467754e-05,29,0.0625782358454608,0.3407466083785358,4.467451651944796
Model B,category_count,Fjob=health,18.0,569.0595106873402,5.423342336467754e-05,29,0.0625782358454608,0.3407466083785358,4.467451651944796
Model B,category_count,reason=course,145.0,569.0595106873402,5.423342336467754e-05,29,0.0625782358454608,0.3407466083785358,4.467451651944796
Model B,category_count,reason=home,109.0,569.0595106873402,5.423342336467754e-05,29,0.0625782358454608,0.3407466083785358,4.467451651944796
